,iteration,no_wdw_mean,no_wdw_ci_lb,no_wdw_ci_ub,wdw_mean,wdw_ci_lb,wdw_ci_ub
0,1,0.74,0.6171846684850231,0.8628153315149769,1.0,1.0,1.0
1,2,0.76,0.6404189209480158,0.8795810790519842,0.67,0.5773757157496829,0.7626242842503171
2,3,0.56,0.4210142091083547,0.6989857908916455,0.5,0.4015081039495562,0.5984918960504438
3,4,0.7,0.5716902383065421,0.8283097616934578,0.5,0.4015081039495562,0.5984918960504438
4,5,0.54,0.40045128339051084,0.6795487166094892,0.47,0.3716855492071688,0.5683144507928312
5,6,0.6,0.46283109496127683,0.7371689050387231,0.38,0.28438673763036315,0.47561326236963686
6,7,0.5,0.3600025725328533,0.6399974274671467,0.44,0.3422198170591309,0.537780182940869
7,8,0.58,0.4418061573833151,0.7181938426166848,0.4,0.30349804435086836,0.4965019556491317
8,9,0.54,0.40045128339051084,0.6795487166094892,0.4,0.30349804435086836,0.4965019556491317
9,10,0.6,0.46283109496127683,0.7371689050387231,0.34,0.24668704987923695,0.4333129501207631
10,11,0.62,0.48409429303061746,0.7559057069693825,0.41,0.31311681048100853,0.5068831895189914
11,12,0.58,0.4418061573833151,0.7181938426166848,0.29,0.20061623024979996,0.3793837697502
12,13,0.58,0.4418061573833151,0.7181938426166848,0.33,0.2373757157496829,0.4226242842503172
13,14,0.56,0.4210142091083547,0.6989857908916455,0.38,0.28438673763036315,0.47561326236963686
14,15,0.54,0.40045128339051084,0.6795487166094892,0.34,0.24668704987923695,0.4333129501207631
15,16,0.6,0.46283109496127683,0.7371689050387231,0.3,0.20973068620182383,0.39026931379817614
16,17,0.54,0.40045128339051084,0.6795487166094892,0.27,0.18254718250123186,0.35745281749876817
17,18,0.52,0.380114615309879,0.659885384690121,0.24,0.15587154549427823,0.32412845450572175
18,19,0.46,0.32045128339051077,0.5995487166094893,0.27,0.18254718250123186,0.35745281749876817
19,20,0.48,0.34011461530987896,0.619885384690121,0.29,0.20061623024979996,0.3793837697502
20,21,0.58,0.4418061573833151,0.7181938426166848,0.29,0.20061623024979996,0.3793837697502
21,22,0.54,0.40045128339051084,0.6795487166094892,0.24,0.15587154549427823,0.32412845450572175
22,23,0.58,0.4418061573833151,0.7181938426166848,0.22,0.1384001922640961,0.3015998077359039
23,24,0.56,0.4210142091083547,0.6989857908916455,0.25,0.16470351595341942,0.3352964840465806
24,25,0.56,0.4210142091083547,0.6989857908916455,0.21,0.12976687890441416,0.29023312109558586
25,26,0.54,0.40045128339051084,0.6795487166094892,0.24,0.15587154549427823,0.32412845450572175
26,27,0.58,0.4418061573833151,0.7181938426166848,0.26,0.17359616327369626,0.34640383672630376
27,28,0.52,0.380114615309879,0.659885384690121,0.19,0.11272308010451249,0.2672769198954875
28,29,0.56,0.4210142091083547,0.6989857908916455,0.23,0.14710281668558373,0.3128971833144163
29,30,0.5,0.3600025725328533,0.6399974274671467,0.24,0.15587154549427823,0.32412845450572175
30,31,0.48,0.34011461530987896,0.619885384690121,0.26,0.17359616327369629,0.3464038367263037
31,32,0.5,0.3600025725328533,0.6399974274671467,0.22,0.13840019226409608,0.3015998077359039
32,33,0.54,0.40045128339051084,0.6795487166094892,0.19,0.11272308010451249,0.2672769198954875
33,34,0.64,0.5056024696315391,0.7743975303684609,0.19,0.11272308010451249,0.2672769198954875
34,35,0.6,0.46283109496127683,0.7371689050387231,0.23,0.14710281668558373,0.3128971833144163
35,36,0.68,0.5493890776059158,0.8106109223940843,0.2,0.12120648315964497,0.278793516840355
36,37,0.64,0.5056024696315391,0.7743975303684609,0.18,0.10432129838504238,0.2556787016149576
37,38,0.68,0.5493890776059158,0.8106109223940843,0.2,0.12120648315964497,0.278793516840355
38,39,0.66,0.5273639813006916,0.7926360186993084,0.18,0.10432129838504238,0.2556787016149576
39,40,0.74,0.6171846684850231,0.8628153315149769,0.19,0.11272308010451249,0.2672769198954875
40,41,0.72,0.5942826219331683,0.8457173780668317,0.18,0.10432129838504238,0.2556787016149576
41,42,0.74,0.6171846684850231,0.8628153315149769,0.16,0.08778454896145907,0.23221545103854094
42,43,0.76,0.6404189209480158,0.8795810790519842,0.16,0.08778454896145906,0.23221545103854097
43,44,0.8,0.6880020580262827,0.9119979419737174,0.16,0.08778454896145906,0.23221545103854097
44,45,0.8,0.6880020580262827,0.9119979419737174,0.16,0.08778454896145907,0.23221545103854094
45,46,0.84,0.7373521906452336,0.9426478093547663,0.18,0.10432129838504238,0.2556787016149576
46,47,0.84,0.7373521906452336,0.9426478093547663,0.15,0.07966271735642733,0.22033728264357266
47,48,0.84,0.7373521906452336,0.9426478093547663,0.16,0.08778454896145906,0.23221545103854097
48,49,0.8,0.6880020580262827,0.9119979419737174,0.16,0.08778454896145906,0.23221545103854097
49,50,0.84,0.7373521906452336,0.9426478093547663,0.15,0.07966271735642733,0.22033728264357266
50,51,0.86,0.7628454164628503,0.9571545835371497,0.14,0.07164917873358315,0.20835082126641688
51,52,0.92,0.8440393000103333,0.9959606999896667,0.13,0.06375367419218325,0.19624632580781676
52,53,0.86,0.7628454164628503,0.9571545835371497,0.15,0.07966271735642733,0.22033728264357266
53,54,0.86,0.7628454164628503,0.9571545835371497,0.1,0.04090486236973372,0.15909513763026628
54,55,0.9,0.816001543519712,0.983998456480288,0.12,0.05598784431526253,0.18401215568473744
55,56,0.9,0.816001543519712,0.983998456480288,0.13,0.06375367419218325,0.19624632580781676
56,57,0.86,0.7628454164628503,0.9571545835371497,0.13,0.06375367419218324,0.19624632580781676
57,58,0.9,0.816001543519712,0.983998456480288,0.1,0.04090486236973372,0.15909513763026628
