,window_size,mean,ci_lb,ci_ub
0,1,0.5275555555555557,0.5172704281562375,0.5378406829548736
1,2,0.4086666666666667,0.40033531299727715,0.4169980203360561
2,3,0.34066666666666684,0.3255582150690693,0.35577511826426406
3,4,0.2259999999999999,0.2088738246446426,0.2431261753553574
4,5,0.06311111111111112,0.05250720799060851,0.07371501423161372
5,10,0.038444444444444434,0.03142669007067632,0.045462198818212576
6,11,0.06866666666666665,0.057628955928905656,0.07970437740442768
7,12,0.04266666666666666,0.03390342906575819,0.05142990426757513
8,13,0.1131111111111111,0.09850982428361879,0.12771239793860337
9,14,0.21222222222222215,0.20051126305575212,0.22393318138869228
10,15,0.22977777777777775,0.21561048763632176,0.24394506791923373
11,16,0.14200000000000002,0.12972351150587694,0.15427648849412304
12,17,0.12333333333333335,0.10919599767096505,0.13747066899570162
13,18,0.11688888888888892,0.10410340339952326,0.12967437437825455
14,19,0.09133333333333331,0.07447279860314146,0.10819386806352518
15,20,0.09466666666666662,0.07523574995923674,0.11409758337409659
16,25,0.13244444444444445,0.1042188342427148,0.1606700546461741
17,50,0.456222222222222,0.43530251834935196,0.47714192609509243
18,75,0.47466666666666657,0.44645340368660963,0.5028799296467236
19,100,0.6051111111111112,0.5764474463702155,0.6337747758520066
