,window_size,mean,ci_lb,ci_ub
0,1,0.5206060606060607,0.5106274144249223,0.5305847067871989
1,2,0.4081632653061223,0.40049688740020484,0.4158296432120401
2,3,0.3334020618556703,0.3199542318959386,0.34684989181540155
3,4,0.21812500000000007,0.20149866817209097,0.23475133182790894
4,5,0.052421052631578945,0.04239169253711783,0.06245041272604007
5,10,0.02488888888888888,0.017433775348937936,0.032344002428839835
6,11,0.05752808988764044,0.04620874907399536,0.06884743070128553
7,12,0.028863636363636362,0.020537146874623435,0.03719012585264929
8,13,0.11264367816091955,0.09685088164540842,0.12843647467643068
9,14,0.22906976744186047,0.21548503824901794,0.24265449663470307
10,15,0.24823529411764717,0.23114107360459282,0.26532951463070126
11,20,0.09200000000000001,0.06891357948724808,0.11508642051275192
12,25,0.15573333333333336,0.1213593908047166,0.1901072758619501
13,100,0.6426000000000001,0.6170985703210806,0.6681014296789195
