,iteration,no_wdw_mean,no_wdw_ci_lb,no_wdw_ci_ub,wdw_mean,wdw_ci_lb,wdw_ci_ub
0,1,0.8,0.6880020580262827,0.9119979419737174,1.0,1.0,1.0
1,2,0.54,0.40045128339051084,0.6795487166094892,0.28,0.19155449670531666,0.3684455032946834
2,3,0.2,0.08800205802628262,0.3119979419737174,0.06,0.013218941339842055,0.10678105866015794
3,4,0.16,0.05735219064523367,0.26264780935476634,0.05,0.007068377835840266,0.09293162216415973
4,5,0.06,-0.006495093802007149,0.12649509380200713,0.04,0.0013992177403473471,0.07860078225965265
5,6,0.08,0.004039300010333272,0.15596069998966672,0.0,0.0,0.0
6,7,0.06,-0.006495093802007149,0.12649509380200713,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.01,-0.009599639845400536,0.02959963984540054
8,9,0.02,-0.019199279690801065,0.05919927969080106,0.01,-0.009599639845400536,0.02959963984540054
9,10,0.02,-0.019199279690801065,0.05919927969080106,0.0,0.0,0.0
10,11,0.06,-0.006495093802007149,0.12649509380200713,0.0,0.0,0.0
11,12,0.02,-0.019199279690801065,0.05919927969080106,0.01,-0.009599639845400536,0.02959963984540054
12,13,0.06,-0.006495093802007149,0.12649509380200713,0.02,-0.0075777308941242585,0.04757773089412426
13,14,0.06,-0.006495093802007149,0.12649509380200713,0.03,-0.0036029176947176764,0.06360291769471768
14,15,0.02,-0.019199279690801065,0.05919927969080106,0.04,0.0013992177403473471,0.07860078225965265
15,16,0.06,-0.006495093802007149,0.12649509380200713,0.05,0.007068377835840266,0.09293162216415973
16,17,0.08,0.004039300010333272,0.15596069998966672,0.04,0.0013992177403473471,0.07860078225965265
17,18,0.08,0.004039300010333272,0.15596069998966672,0.02,-0.0075777308941242585,0.04757773089412426
18,19,0.12,0.029012441816533036,0.21098755818346696,0.04,0.0013992177403473471,0.07860078225965265
19,20,0.14,0.04284541646285035,0.2371545835371497,0.01,-0.009599639845400536,0.02959963984540054
20,21,0.06,-0.006495093802007135,0.12649509380200713,0.04,0.0013992177403473471,0.07860078225965265
21,22,0.14,0.04284541646285035,0.2371545835371497,0.0,0.0,0.0
22,23,0.12,0.029012441816533036,0.21098755818346696,0.02,-0.0075777308941242585,0.04757773089412426
23,24,0.24,0.12041892094801572,0.3595810790519843,0.01,-0.009599639845400536,0.02959963984540054
24,25,0.18,0.07242948948082387,0.28757051051917615,0.0,0.0,0.0
25,26,0.1,0.016001543519711975,0.18399845648028804,0.0,0.0,0.0
26,27,0.22,0.10401316633208577,0.33598683366791426,0.02,-0.0075777308941242585,0.04757773089412426
27,28,0.18,0.07242948948082387,0.28757051051917615,0.03,-0.0036029176947176764,0.06360291769471768
28,29,0.26,0.13718466848502317,0.3828153315149768,0.01,-0.009599639845400536,0.02959963984540054
29,30,0.26,0.13718466848502314,0.3828153315149769,0.05,0.007068377835840266,0.09293162216415973
30,31,0.16,0.05735219064523367,0.26264780935476634,0.01,-0.009599639845400536,0.02959963984540054
31,32,0.24,0.12041892094801572,0.3595810790519843,0.03,-0.0036029176947176764,0.06360291769471768
32,33,0.34,0.2073639813006916,0.47263601869930844,0.0,0.0,0.0
33,34,0.28,0.15428262193316838,0.40571737806683167,0.01,-0.009599639845400536,0.02959963984540054
34,35,0.36,0.22560246963153915,0.4943975303684608,0.01,-0.009599639845400536,0.02959963984540054
35,36,0.42,0.28180615738331505,0.5581938426166849,0.01,-0.009599639845400536,0.02959963984540054
36,37,0.46,0.32045128339051077,0.5995487166094893,0.0,0.0,0.0
37,38,0.4,0.2628310949612769,0.5371689050387232,0.02,-0.007577730894124262,0.04757773089412426
38,39,0.44,0.30101420910835464,0.5789857908916454,0.01,-0.009599639845400536,0.02959963984540054
39,40,0.6,0.46283109496127683,0.7371689050387231,0.05,0.007068377835840266,0.09293162216415973
40,41,0.56,0.4210142091083547,0.6989857908916455,0.03,-0.0036029176947176833,0.06360291769471768
