,first_defection
0,0.0
1,0.0
2,0.01
3,0.0
4,0.0
5,0.01
6,0.0
7,0.0
8,0.0
9,0.02
10,0.01
11,0.0
12,0.01
13,0.01
14,0.0
15,0.0
16,0.01
17,0.0
18,0.01
19,0.0
20,0.02
21,0.02
22,0.02
23,0.01
24,0.01
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.01
31,0.06
32,0.02
33,0.01
34,0.01
35,0.02
36,0.04
37,0.0
38,0.0
39,0.01
40,0.03
41,0.0
42,0.0
43,0.01
44,0.0
45,0.0
46,0.0
47,0.01
48,0.01
49,0.01
50,0.0
51,0.0
52,0.0
53,0.01
54,0.01
55,0.0
56,0.01
57,0.0
58,0.03
59,0.02
60,0.0
61,0.04
62,0.04
63,0.0
64,0.0
65,0.06
66,0.0
67,0.0
68,0.0
69,0.04
70,0.0
71,0.02
72,0.0
73,0.0
74,0.06
75,0.01
76,0.0
77,0.02
78,0.01
79,0.01
80,0.0
81,0.02
82,0.0
83,0.03
84,0.0
85,0.0
86,0.02
87,0.0
88,0.0
89,0.0
90,0.01
91,0.01
92,0.01
93,0.03
94,0.04
95,0.0
96,0.05
97,0.02
98,0.01
99,0.01
