,URND_alpha,model_coop,ci_lb,ci_ub
0,0.0,0.25780000000000003,0.23511591577075333,0.28048408422924664
1,0.1,0.2146,0.1907260519859953,0.2384739480140048
2,0.2,0.2231,0.1974138951022109,0.24878610489778913
3,0.3,0.29510000000000014,0.2668076204003763,0.32339237959962364
4,0.4,0.3511000000000001,0.3177999554901494,0.38440004450985044
5,0.5,0.40110000000000023,0.36334288275455395,0.43885711724544607
6,0.6,0.43120000000000014,0.38607799977359236,0.47632200022640747
7,0.7,0.5162000000000001,0.4657200216276576,0.5666799783723424
8,0.8,0.6352999999999999,0.5754924928923479,0.695107507107652
9,0.9,0.7015999999999997,0.6365716432435239,0.7666283567564761
10,1.0,0.8086999999999998,0.7350119176992048,0.8823880823007954
