,URND_alpha,model_coop,ci_lb,ci_ub
0,0.0,0.07600000000000003,0.05994370622639329,0.0920562937736067
1,0.1,0.07800000000000003,0.054120234077902896,0.1018797659220971
2,0.2,0.07300000000000001,0.056983630765033044,0.08901636923496697
3,0.3,0.127,0.06944465281390533,0.18455534718609473
4,0.4,0.23400000000000004,0.07994356147254347,0.38805643852745664
5,0.5,0.43900000000000006,0.30303851032760065,0.5749614896723995
6,0.6,0.641,0.5305345875021786,0.7514654124978212
7,0.7,0.7010000000000001,0.5029358581022647,0.8990641418977354
8,0.8,0.916,0.8793673695362207,0.9526326304637793
9,0.9,0.9810000000000001,0.9681144892687347,0.9938855107312655
10,1.0,1.0,1.0,1.0
