,iteration,mean,ci_lb,ci_ub
0,1,0.8,0.6880020580262827,0.9119979419737174
1,2,0.54,0.40045128339051084,0.6795487166094892
2,3,0.2,0.08800205802628262,0.3119979419737174
3,4,0.16,0.05735219064523367,0.26264780935476634
4,5,0.06,-0.006495093802007149,0.12649509380200713
5,6,0.08,0.004039300010333272,0.15596069998966672
6,7,0.06,-0.006495093802007149,0.12649509380200713
7,8,0.0,0.0,0.0
8,9,0.02,-0.019199279690801065,0.05919927969080106
9,10,0.02,-0.019199279690801065,0.05919927969080106
10,11,0.06,-0.006495093802007149,0.12649509380200713
11,12,0.02,-0.019199279690801065,0.05919927969080106
12,13,0.06,-0.006495093802007149,0.12649509380200713
13,14,0.06,-0.006495093802007149,0.12649509380200713
14,15,0.02,-0.019199279690801065,0.05919927969080106
15,16,0.06,-0.006495093802007149,0.12649509380200713
16,17,0.08,0.004039300010333272,0.15596069998966672
17,18,0.08,0.004039300010333272,0.15596069998966672
18,19,0.12,0.029012441816533036,0.21098755818346696
19,20,0.14,0.04284541646285035,0.2371545835371497
20,21,0.06,-0.006495093802007135,0.12649509380200713
21,22,0.14,0.04284541646285035,0.2371545835371497
22,23,0.12,0.029012441816533036,0.21098755818346696
23,24,0.24,0.12041892094801572,0.3595810790519843
24,25,0.18,0.07242948948082387,0.28757051051917615
25,26,0.1,0.016001543519711975,0.18399845648028804
26,27,0.22,0.10401316633208577,0.33598683366791426
27,28,0.18,0.07242948948082387,0.28757051051917615
28,29,0.26,0.13718466848502317,0.3828153315149768
29,30,0.26,0.13718466848502314,0.3828153315149769
30,31,0.16,0.05735219064523367,0.26264780935476634
31,32,0.24,0.12041892094801572,0.3595810790519843
32,33,0.34,0.2073639813006916,0.47263601869930844
33,34,0.28,0.15428262193316838,0.40571737806683167
34,35,0.36,0.22560246963153915,0.4943975303684608
35,36,0.42,0.28180615738331505,0.5581938426166849
36,37,0.46,0.32045128339051077,0.5995487166094893
37,38,0.4,0.2628310949612769,0.5371689050387232
38,39,0.44,0.30101420910835464,0.5789857908916454
39,40,0.6,0.46283109496127683,0.7371689050387231
40,41,0.56,0.4210142091083547,0.6989857908916455
41,42,0.58,0.4418061573833151,0.7181938426166848
42,43,0.64,0.5056024696315392,0.7743975303684608
43,44,0.76,0.6404189209480158,0.8795810790519842
44,45,0.8,0.6880020580262827,0.9119979419737174
45,46,0.82,0.7124294894808239,0.927570510519176
46,47,0.8,0.6880020580262827,0.9119979419737174
47,48,0.8,0.6880020580262827,0.9119979419737174
48,49,0.84,0.7373521906452336,0.9426478093547663
49,50,0.86,0.7628454164628503,0.9571545835371497
50,51,0.88,0.789012441816533,0.970987558183467
51,52,0.92,0.8440393000103333,0.9959606999896667
52,53,0.9,0.816001543519712,0.983998456480288
53,54,0.92,0.8440393000103333,0.9959606999896667
54,55,0.96,0.9051324379845107,1.0148675620154892
55,56,0.94,0.8735049061979928,1.0064950938020072
56,57,0.98,0.9408007203091989,1.0191992796908012
57,58,0.92,0.8440393000103333,0.9959606999896667
58,59,0.96,0.9051324379845107,1.0148675620154892
59,60,0.96,0.9051324379845107,1.0148675620154892
60,61,1.0,1.0,1.0
61,62,0.94,0.8735049061979928,1.0064950938020072
62,63,0.94,0.8735049061979928,1.0064950938020072
63,64,0.98,0.9408007203091989,1.0191992796908012
64,65,0.98,0.9408007203091989,1.0191992796908012
65,66,1.0,1.0,1.0
66,67,0.98,0.9408007203091989,1.0191992796908012
67,68,0.96,0.9051324379845107,1.0148675620154892
68,69,1.0,1.0,1.0
69,70,1.0,1.0,1.0
70,71,1.0,1.0,1.0
71,72,1.0,1.0,1.0
72,73,1.0,1.0,1.0
73,74,0.94,0.8735049061979928,1.0064950938020072
74,75,0.98,0.9408007203091989,1.0191992796908012
75,76,1.0,1.0,1.0
76,77,0.98,0.9408007203091989,1.0191992796908012
77,78,1.0,1.0,1.0
78,79,1.0,1.0,1.0
79,80,1.0,1.0,1.0
80,81,1.0,1.0,1.0
81,82,0.96,0.9051324379845107,1.0148675620154892
82,83,1.0,1.0,1.0
83,84,1.0,1.0,1.0
84,85,0.98,0.9408007203091989,1.0191992796908012
85,86,1.0,1.0,1.0
86,87,0.98,0.9408007203091989,1.0191992796908012
87,88,0.98,0.9408007203091989,1.0191992796908012
88,89,0.98,0.9408007203091989,1.0191992796908012
89,90,1.0,1.0,1.0
90,91,0.98,0.9408007203091989,1.0191992796908012
91,92,1.0,1.0,1.0
92,93,0.98,0.9408007203091989,1.0191992796908012
93,94,0.98,0.9408007203091989,1.0191992796908012
94,95,0.98,0.9408007203091989,1.0191992796908012
95,96,0.98,0.9408007203091989,1.0191992796908012
96,97,0.94,0.8735049061979928,1.0064950938020072
97,98,0.98,0.9408007203091989,1.0191992796908012
98,99,1.0,1.0,1.0
99,100,0.98,0.9408007203091989,1.0191992796908012
