,window_size,mean,ci_lb,ci_ub
0,1,0.504,0.4733485551470167,0.5346514448529833
1,2,0.44,0.4114460154196891,0.4685539845803109
2,3,0.33,0.2919165823801355,0.3680834176198645
3,4,0.224,0.175322751533194,0.272677248466806
4,5,0.08,0.0454799159096754,0.1145200840903245
5,10,0.032,0.0066825190189783,0.0573174809810216
6,11,0.068,0.0332806379881476,0.1027193620118523
7,12,0.018,0.0046421617630208,0.0313578382369791
8,13,0.1099999999999999,0.0719165823801354,0.1480834176198645
9,14,0.21,0.155924011512919,0.2640759884870809
10,15,0.22,0.1571413109665841,0.2828586890334158
11,16,0.12,0.0804027478757234,0.1595972521242765
12,17,0.1259999999999999,0.0636899774439142,0.1883100225560857
13,18,0.1079999999999999,0.0552181848236542,0.1607818151763458
14,19,0.07,0.0224008746611701,0.1175991253388298
15,20,0.058,0.013520457626272,0.102479542373728
16,25,0.1519999999999999,0.0721665974098216,0.2318334025901783
17,50,0.7639999999999999,0.7009520221489083,0.8270479778510915
18,75,0.918,0.8845455941938671,0.9514544058061328
19,100,0.98,0.9632003087039424,0.9967996912960576
