,iteration,mean,ci_lb,ci_ub
0,1,1.0,1.0,1.0
1,2,0.28,0.19155449670531666,0.3684455032946834
2,3,0.06,0.013218941339842055,0.10678105866015794
3,4,0.05,0.007068377835840266,0.09293162216415973
4,5,0.04,0.0013992177403473471,0.07860078225965265
5,6,0.0,0.0,0.0
6,7,0.0,0.0,0.0
7,8,0.01,-0.009599639845400536,0.02959963984540054
8,9,0.01,-0.009599639845400536,0.02959963984540054
9,10,0.0,0.0,0.0
10,11,0.0,0.0,0.0
11,12,0.01,-0.009599639845400536,0.02959963984540054
12,13,0.02,-0.0075777308941242585,0.04757773089412426
13,14,0.03,-0.0036029176947176764,0.06360291769471768
14,15,0.04,0.0013992177403473471,0.07860078225965265
15,16,0.05,0.007068377835840266,0.09293162216415973
16,17,0.04,0.0013992177403473471,0.07860078225965265
17,18,0.02,-0.0075777308941242585,0.04757773089412426
18,19,0.04,0.0013992177403473471,0.07860078225965265
19,20,0.01,-0.009599639845400536,0.02959963984540054
20,21,0.04,0.0013992177403473471,0.07860078225965265
21,22,0.0,0.0,0.0
22,23,0.02,-0.0075777308941242585,0.04757773089412426
23,24,0.01,-0.009599639845400536,0.02959963984540054
24,25,0.0,0.0,0.0
25,26,0.0,0.0,0.0
26,27,0.02,-0.0075777308941242585,0.04757773089412426
27,28,0.03,-0.0036029176947176764,0.06360291769471768
28,29,0.01,-0.009599639845400536,0.02959963984540054
29,30,0.05,0.007068377835840266,0.09293162216415973
30,31,0.01,-0.009599639845400536,0.02959963984540054
31,32,0.03,-0.0036029176947176764,0.06360291769471768
32,33,0.0,0.0,0.0
33,34,0.01,-0.009599639845400536,0.02959963984540054
34,35,0.01,-0.009599639845400536,0.02959963984540054
35,36,0.01,-0.009599639845400536,0.02959963984540054
36,37,0.0,0.0,0.0
37,38,0.02,-0.007577730894124262,0.04757773089412426
38,39,0.01,-0.009599639845400536,0.02959963984540054
39,40,0.05,0.007068377835840266,0.09293162216415973
40,41,0.03,-0.0036029176947176833,0.06360291769471768
41,42,0.05,0.007068377835840266,0.09293162216415973
42,43,0.01,-0.009599639845400536,0.02959963984540054
43,44,0.02,-0.0075777308941242585,0.04757773089412426
44,45,0.03,-0.0036029176947176764,0.06360291769471768
45,46,0.04,0.0013992177403473471,0.07860078225965265
46,47,0.03,-0.0036029176947176764,0.06360291769471768
47,48,0.06,0.013218941339842062,0.10678105866015794
48,49,0.02,-0.007577730894124262,0.04757773089412426
49,50,0.02,-0.007577730894124262,0.04757773089412426
50,51,0.07,0.01974017315773944,0.12025982684226058
51,52,0.01,-0.009599639845400536,0.02959963984540054
52,53,0.04,0.0013992177403473471,0.07860078225965265
53,54,0.01,-0.009599639845400536,0.02959963984540054
54,55,0.0,0.0,0.0
55,56,0.01,-0.009599639845400536,0.02959963984540054
56,57,0.01,-0.009599639845400536,0.02959963984540054
57,58,0.05,0.007068377835840266,0.09293162216415973
58,59,0.04,0.0013992177403473471,0.07860078225965265
59,60,0.04,0.0013992177403473471,0.07860078225965265
60,61,0.04,0.0013992177403473471,0.07860078225965265
61,62,0.0,0.0,0.0
62,63,0.0,0.0,0.0
63,64,0.04,0.0013992177403473471,0.07860078225965265
64,65,0.0,0.0,0.0
65,66,0.0,0.0,0.0
66,67,0.03,-0.0036029176947176833,0.06360291769471768
67,68,0.01,-0.009599639845400536,0.02959963984540054
68,69,0.01,-0.009599639845400536,0.02959963984540054
69,70,0.01,-0.009599639845400536,0.02959963984540054
70,71,0.0,0.0,0.0
71,72,0.0,0.0,0.0
72,73,0.0,0.0,0.0
73,74,0.03,-0.0036029176947176764,0.06360291769471768
74,75,0.03,-0.0036029176947176764,0.06360291769471768
75,76,0.04,0.0013992177403473402,0.07860078225965267
76,77,0.03,-0.0036029176947176764,0.06360291769471768
77,78,0.01,-0.009599639845400536,0.02959963984540054
78,79,0.01,-0.009599639845400536,0.02959963984540054
79,80,0.01,-0.009599639845400536,0.02959963984540054
80,81,0.01,-0.009599639845400536,0.02959963984540054
81,82,0.02,-0.0075777308941242585,0.04757773089412426
82,83,0.02,-0.0075777308941242585,0.04757773089412426
83,84,0.01,-0.009599639845400536,0.02959963984540054
84,85,0.02,-0.007577730894124262,0.04757773089412426
85,86,0.02,-0.007577730894124262,0.04757773089412426
86,87,0.02,-0.0075777308941242585,0.04757773089412426
87,88,0.0,0.0,0.0
88,89,0.01,-0.009599639845400536,0.02959963984540054
89,90,0.02,-0.007577730894124262,0.04757773089412426
90,91,0.07,0.01974017315773944,0.12025982684226058
91,92,0.03,-0.0036029176947176764,0.06360291769471768
92,93,0.03,-0.0036029176947176833,0.06360291769471768
93,94,0.01,-0.009599639845400536,0.02959963984540054
94,95,0.03,-0.0036029176947176764,0.06360291769471768
95,96,0.0,0.0,0.0
96,97,0.05,0.007068377835840266,0.09293162216415973
97,98,0.02,-0.0075777308941242585,0.04757773089412426
98,99,0.04,0.0013992177403473471,0.07860078225965265
99,100,0.02,-0.007577730894124262,0.04757773089412426
