,URND_alpha,model_coop,ci_lb,ci_ub
0,0.0,0.021000000000000005,0.006181633200343158,0.035818366799656845
1,0.1,0.05799999999999999,0.033526398811914104,0.08247360118808592
2,0.2,0.07999999999999999,0.053719084197122555,0.10628091580287745
3,0.3,0.05,0.027801054028385484,0.07219894597161453
4,0.4,0.037000000000000005,0.017769094733369992,0.05623090526663002
5,0.5,0.043,0.01524624894774227,0.07075375105225776
6,0.6,0.0,0.0,0.0
7,0.7,0.0,0.0,0.0
8,0.8,0.0,0.0,0.0
9,0.9,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
