,URND_alpha,nice_mean,nice_ci_lb,nice_ci_ub,forgiving_mean,forgiving_ci_lb,forgiving_ci_ub,retaliatory_mean,retaliatory_ci_lb,retaliatory_ci_ub,troublemaking_mean,troublemaking_ci_lb,troublemaking_ci_ub,emulative_mean,emulative_ci_lb,emulative_ci_ub
0,0.0,0.53,0.43168554920716884,0.6283144507928312,0.9797503984350293,0.9793264505617302,0.9801743463083284,0.5071553380308255,0.49269335503688383,0.5216173210247671,0.47,0.3716855492071688,0.5683144507928312,0.5059595959595958,0.4960304580799975,0.5158887338391942
1,0.1,0.42,0.32277697363397606,0.5172230263660239,0.9379082784719758,0.9311263689670796,0.944690187976872,0.5028026194332955,0.4877280024482891,0.5178772364183019,0.4958525037054449,0.45757183445479316,0.5341331729560967,0.5046464646464649,0.49494797974388693,0.5143449495490429
2,0.2,0.35,0.2560447193355988,0.44395528066440115,0.8951185076567407,0.886551781144217,0.9036852341692645,0.5097004890849469,0.4936946138064963,0.5257063643633975,0.4871917187550406,0.4658692876344444,0.5085141498756368,0.5079797979797981,0.4971680261610248,0.5187915697985714
3,0.3,0.53,0.43168554920716884,0.6283144507928312,0.8617192206523956,0.8507452995863988,0.8726931417183924,0.4992409563664537,0.483186686581768,0.5152952261511394,0.48827764202839324,0.47135320919847434,0.5052020748583121,0.5029292929292927,0.4935530362254146,0.5123055496331708
4,0.4,0.38,0.2843867376303632,0.4756132623696368,0.821506918617032,0.8097913364633369,0.833222500770727,0.5034910413241126,0.48557089389697233,0.5214111887512528,0.5032937161031737,0.48881745386214476,0.5177699783442028,0.49494949494949503,0.48495714028651044,0.5049418496124797
5,0.5,0.35,0.2560447193355988,0.44395528066440115,0.7931733624631698,0.7794543991832442,0.8068923257430954,0.5180746861812355,0.49836004118306115,0.5377893311794099,0.48702989826003856,0.47295664286352956,0.5011031536565476,0.5064646464646466,0.49708110891850366,0.5158481840107896
6,0.6,0.31,0.2188963271346301,0.4011036728653699,0.7788792497702469,0.7635700326859243,0.7941884668545696,0.5034473126156076,0.4826600299976948,0.5242345952335205,0.4854342645230089,0.4718232949046073,0.49904523414141055,0.5041414141414141,0.4946151941648397,0.5136676341179885
7,0.7,0.28,0.1915544967053166,0.36844550329468345,0.7466563003271274,0.7308428236118591,0.7624697770423956,0.5202408472160795,0.49455460439692334,0.5459270900352358,0.4997523971883397,0.48828331688649906,0.5112214774901803,0.5024242424242424,0.49248504170797336,0.5123634431405115
8,0.8,0.19,0.11272308010451249,0.2672769198954875,0.7267677882023978,0.7037007129912523,0.7498348634135434,0.5014513574660634,0.4691663703193724,0.5337363446127543,0.5042400661836117,0.49221455479082343,0.5162655775764,0.4934343434343432,0.48337338322392703,0.5034953036447595
9,0.9,0.11,0.04836578916779548,0.17163421083220454,0.7032786378556906,0.6678665133014307,0.7386907624099505,0.5031810966810968,0.44826410788660986,0.5580980854755837,0.5003132545774033,0.49085207797395014,0.5097744311808564,0.5016161616161617,0.49181898314555633,0.5114133400867671
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49910000000000004,0.48976830995482995,0.5084316900451702,0.5013131313131314,0.4918806318039333,0.5107456308223294
