,first_defection
0,
1,
2,
3,
4,
5,0.99
6,0.99
7,0.99
8,0.99
9,0.99
10,0.99
11,
12,
13,
14,
15,0.99
16,
17,
18,0.99
19,
20,
21,
22,0.99
23,0.99
24,
25,0.99
26,0.99
27,0.99
28,
29,
30,
31,
32,
33,0.99
34,
35,
36,0.99
37,
38,
39,0.01
40,
41,0.99
42,
43,
44,0.99
45,
46,
47,
48,0.99
49,
50,
51,0.99
52,0.99
53,
54,
55,
56,
57,0.99
58,0.99
59,
60,0.99
61,
62,0.99
63,
64,0.99
65,
66,
67,0.97
68,
69,0.99
70,0.99
71,0.99
72,
73,
74,0.99
75,0.99
76,0.99
77,
78,
79,
80,0.99
81,
82,
83,0.99
84,
85,
86,
87,
88,0.99
89,0.0
90,
91,
92,0.01
93,0.99
94,
95,0.99
96,0.02
97,
98,
99,
