,std_defection
0,
1,
2,
3,
4,
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,
12,
13,
14,
15,0.0
16,
17,
18,0.0
19,
20,
21,
22,0.0
23,0.0
24,
25,0.0
26,0.0
27,0.0
28,
29,
30,
31,
32,
33,0.0
34,
35,
36,0.0
37,
38,
39,0.27656772474602154
40,
41,0.0
42,
43,
44,0.0
45,
46,
47,
48,0.0
49,
50,
51,0.0
52,0.0
53,
54,
55,
56,
57,0.0
58,0.0
59,
60,0.0
61,
62,0.0
63,
64,0.0
65,
66,
67,0.008164965809277268
68,
69,0.0
70,0.0
71,0.0
72,
73,
74,0.0
75,0.0
76,0.0
77,
78,
79,
80,0.0
81,
82,
83,0.0
84,
85,
86,
87,
88,0.0
89,0.2885505181062326
90,
91,
92,0.2808836246305746
93,0.0
94,
95,0.0
96,0.2721603300091005
97,
98,
99,
