,avg_defection
0,
1,
2,
3,
4,
5,
6,
7,
8,0.99
9,0.99
10,
11,
12,
13,
14,0.99
15,0.99
16,
17,
18,
19,
20,0.99
21,0.99
22,
23,0.99
24,
25,0.99
26,
27,0.99
28,
29,
30,0.99
31,0.99
32,
33,0.99
34,
35,0.99
36,
37,0.99
38,0.99
39,0.99
40,0.6833333333333332
41,
42,
43,0.79
44,
45,0.99
46,
47,
48,0.49499999999999994
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,0.99
59,
60,0.99
61,
62,
63,
64,
65,
66,
67,0.99
68,
69,
70,0.99
71,
72,0.99
73,
74,0.99
75,0.99
76,0.99
77,
78,0.99
79,0.99
80,0.9466666666666667
81,0.99
82,
83,
84,
85,
86,0.99
87,
88,
89,0.99
90,
91,
92,0.99
93,
94,0.99
95,0.99
96,0.09125
97,0.99
98,0.99
99,0.99
