,std_defection
0,
1,
2,
3,
4,
5,
6,
7,
8,0.0
9,0.0
10,
11,
12,
13,
14,0.0
15,0.0
16,
17,
18,
19,
20,0.0
21,0.0
22,
23,0.0
24,
25,0.0
26,
27,0.0
28,
29,
30,0.0
31,0.0
32,
33,0.0
34,
35,0.0
36,
37,0.0
38,0.0
39,0.0
40,0.21699974398346392
41,
42,
43,0.008164965809277268
44,
45,0.0
46,
47,
48,0.2886607004772212
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,0.0
59,
60,0.0
61,
62,
63,
64,
65,
66,
67,0.0
68,
69,
70,0.0
71,
72,0.0
73,
74,0.0
75,0.0
76,0.0
77,
78,0.0
79,0.0
80,0.029814239699997178
81,0.0
82,
83,
84,
85,
86,0.0
87,
88,
89,0.0
90,
91,
92,0.0
93,
94,0.0
95,0.0
96,0.06469882147303767
97,0.0
98,0.0
99,0.0
